La Libertad Avanza,Union por la Patria,Inicio,Final
47.9,48.7,2023-11-13,2023-11-13
56.4,43.6,2023-11-10,2023-11-11
48.6,44.6,2023-11-05,2023-11-09
50.3,42.9,2023-11-07,2023-11-08
42.1,44.2,2023-11-06,2023-11-08
48.2,44.1,2023-11-06,2023-11-08
50.2,46.6,2023-11-04,2023-11-06
45.3,46.7,2023-10-25,2023-11-08
50.1,44.6,2023-11-03,2023-11-07
44.6,42.9,2023-11-01,2023-11-06
42.0,44.0,2023-11-03,2023-11-05
46.3,43.1,2023-11-02,2023-11-04
53.3,43.7,2023-11-02,2023-11-03
39.7,42.4,2023-11-01,2023-11-03
48.5,44.7,2023-11-01,2023-11-03
47.5,44.0,2023-10-26,2023-11-03
43.1,45.4,2023-10-28,2023-10-29
46.6,42.4,2023-10-25,2023-10-27
